"ref_audit","ref_process","ref_control","score","state","justification","id","dt_registered","ref_owner","rev"
"15","71","56","100","0","","241","","0","0"
"15","71","59","100","0","","242","","0","0"
"15","71","77","100","0","","243","","0","0"
"15","71","78","100","0","","244","","0","0"
"15","71","79","100","0","","245","","0","0"
"15","71","80","100","0","","246","","0","0"
"15","71","81","100","0","","247","","0","0"
"15","71","82","100","0","","248","","0","0"
"15","71","83","100","0","","249","","0","0"
"15","71","84","100","0","","250","","0","0"
"15","71","85","100","0","","251","","0","0"
"15","71","86","100","0","","252","","0","0"
"15","71","87","100","0","","253","","0","0"
"16","67","57","100","0","","254","","0","0"
"16","67","58","100","0","","255","","0","0"
"16","67","60","100","0","","256","","0","0"
"16","67","64","100","0","","257","","0","0"
"16","67","67","100","0","","258","","0","0"
"16","67","68","100","0","","259","","0","0"
"16","67","69","100","0","","260","","0","0"
"16","67","70","100","0","","261","","0","0"
"16","67","72","100","0","","262","","0","0"
"16","67","73","100","0","","263","","0","0"
"16","67","74","100","0","","264","","0","0"
"16","67","75","100","0","","265","","0","0"
"16","67","88","100","0","","266","","0","0"
"17","69","57","87","2","","267","","0","0"
"17","69","58","95","2","","268","","0","0"
"18","67","57","79","1","","269","","0","0"
"18","67","58","85","1","","270","","0","0"
"19","82","92","65","1","","271","","0","0"
"20","69","56","30","2","","272","","0","0"
"21","84","91","47","2","","273","","0","0"
"22","84","91","47","0","","274","","0","0"
"23","108","96","59","2","","275","","0","0"
"23","108","97","100","0","","276","","0","0"
"23","108","98","100","0","","277","","0","0"
"23","108","99","100","0","","278","","0","0"
"23","108","100","100","0","","279","","0","0"
"23","108","101","100","0","","280","","0","0"
"23","108","102","100","0","","281","","0","0"
"23","108","103","100","0","","282","","0","0"
"24","108","97","100","0","","283","","0","0"
"27","118","118","60","2","","285","","0","0"
"28","126","95","43","2","","286","","0","0"
"0","133","17","100","0","","288","2019-07-02","160","0"
"0","133","89","100","0","","289","2019-07-02","160","0"
"29","128","121","0","2","","292","2019-07-02","96","0"
"30","133","17","15.79","1","","293","2019-07-02","160","0"
"30","133","89","36.84","1","","294","2019-07-02","160","0"
"0","65","93","100","0","","295","2019-07-12","2","0"
"0","65","89","100","0","","296","2019-07-12","2","0"
"0","65","90","100","0","","297","2019-07-12","2","0"
"0","135","122","100","0","","298","2019-10-12","11","0"
"31","135","122","47.37","2","","299","2019-10-21","11","0"
"0","138","123","100","0","","302","2019-11-05","96","0"
"0","138","124","100","0","","303","2019-11-05","96","0"
"0","138","91","100","0","","304","2019-11-05","96","0"
